run,idi_ratio
1,0.231
2,0.223
3,0.152
4,0.176
5,0.18
6,0.222
7,0.198
8,0.145
9,0.179
10,0.185
11,0.219
12,0.132
13,0.106
14,0.167
15,0.144
16,0.18
17,0.188
18,0.249
19,0.165
20,0.146
