run,idi_ratio
1,0.149
2,0.152
3,0.172
4,0.162
5,0.136
6,0.146
7,0.135
8,0.143
9,0.14
10,0.151
11,0.167
12,0.167
13,0.159
14,0.162
15,0.148
16,0.137
17,0.167
18,0.165
19,0.177
20,0.139
