run,idi_ratio
1,0.163
2,0.166
3,0.161
4,0.143
5,0.146
6,0.171
7,0.145
8,0.144
9,0.159
10,0.162
11,0.146
12,0.168
13,0.181
14,0.146
15,0.155
16,0.132
17,0.139
18,0.147
19,0.147
20,0.141
