dataset,method,baseline_mean,baseline_std,baseline_total_time_s,baseline_mean_time_s,method_mean,method_std,method_total_time_s,method_mean_time_s,p_value,significant
credit,dt,0.07735,0.007551655447648549,2498.93,124.95,0.17935000000000004,0.035743915566149156,2485.4,124.27,8.844915021211901e-05,True
credit,csp,0.07735,0.007551655447648549,2498.93,124.95,0.1537,0.01281834622718547,3475.1,173.75,8.832385863081277e-05,True
credit,hybrid,0.07735,0.007551655447648549,2498.93,124.95,0.15309999999999996,0.012312189082368745,3494.41,174.72,8.832385863081277e-05,True
