run,idi_ratio
1,0.009
2,0.01
3,0.016
4,0.019
5,0.013
6,0.021
7,0.011
8,0.015
9,0.019
10,0.015
11,0.018
12,0.015
13,0.012
14,0.01
15,0.01
16,0.02
17,0.015
18,0.01
19,0.014
20,0.017
