run,idi_ratio
1,0.093
2,0.071
3,0.077
4,0.024
5,0.081
6,0.153
7,0.103
8,0.096
9,0.096
10,0.085
11,0.134
12,0.083
13,0.097
14,0.067
15,0.116
16,0.055
17,0.071
18,0.087
19,0.085
20,0.024
