run,idi_ratio
1,0.135
2,0.14
3,0.177
4,0.136
5,0.198
6,0.134
7,0.074
8,0.157
9,0.127
10,0.143
11,0.149
12,0.129
13,0.187
14,0.148
15,0.122
16,0.206
17,0.143
18,0.168
19,0.151
20,0.196
