run,idi_ratio
1,0.255
2,0.267
3,0.248
4,0.253
5,0.271
6,0.282
7,0.327
8,0.32
9,0.26
10,0.265
11,0.311
12,0.259
13,0.255
14,0.278
15,0.273
16,0.256
17,0.242
18,0.247
19,0.267
20,0.223
