run,idi_ratio
1,0.464
2,0.406
3,0.448
4,0.452
5,0.422
6,0.423
7,0.42
8,0.424
9,0.414
10,0.438
11,0.398
12,0.438
13,0.421
14,0.414
15,0.438
16,0.412
17,0.427
18,0.401
19,0.433
20,0.44
