run,idi_ratio
1,0.232
2,0.242
3,0.213
4,0.225
5,0.25
6,0.242
7,0.218
8,0.233
9,0.249
10,0.253
11,0.241
12,0.253
13,0.247
14,0.221
15,0.239
16,0.242
17,0.206
18,0.229
19,0.219
20,0.236
