run,idi_ratio
1,0.102
2,0.138
3,0.112
4,0.113
5,0.12
6,0.115
7,0.111
8,0.19
9,0.128
10,0.132
11,0.113
12,0.113
13,0.118
14,0.1
15,0.127
16,0.137
17,0.129
18,0.134
19,0.119
20,0.124
