run,idi_ratio
1,0.016
2,0.018
3,0.023
4,0.021
5,0.017
6,0.021
7,0.014
8,0.014
9,0.023
10,0.016
11,0.017
12,0.031
13,0.02
14,0.022
15,0.025
16,0.022
17,0.018
18,0.021
19,0.016
20,0.022
