run,idi_ratio
1,0.674
2,0.703
3,0.689
4,0.664
5,0.688
6,0.684
7,0.652
8,0.658
9,0.668
10,0.627
11,0.652
12,0.663
13,0.708
14,0.648
15,0.645
16,0.663
17,0.667
18,0.682
19,0.66
20,0.628
