run,idi_ratio
1,0.078
2,0.096
3,0.08
4,0.086
5,0.088
6,0.082
7,0.055
8,0.087
9,0.065
10,0.075
11,0.09
12,0.081
13,0.089
14,0.069
15,0.089
16,0.064
17,0.07
18,0.073
19,0.063
20,0.085
