run,idi_ratio
1,0.2
2,0.175
3,0.146
4,0.225
5,0.145
6,0.198
7,0.193
8,0.194
9,0.177
10,0.193
11,0.192
12,0.159
13,0.186
14,0.114
15,0.156
16,0.122
17,0.23
18,0.211
19,0.145
20,0.189
