run,idi_ratio
1,0.0
2,0.0
3,0.001
4,0.001
5,0.0
6,0.001
7,0.001
8,0.0
9,0.0
10,0.0
11,0.001
12,0.0
13,0.001
14,0.0
15,0.001
16,0.0
17,0.0
18,0.001
19,0.0
20,0.0
