run,idi_ratio
1,0.379
2,0.37
3,0.407
4,0.41
5,0.4
6,0.41
7,0.363
8,0.378
9,0.366
10,0.381
11,0.383
12,0.4
13,0.389
14,0.399
15,0.376
16,0.38
17,0.407
18,0.41
19,0.383
20,0.405
