run,idi_ratio
1,0.494
2,0.467
3,0.466
4,0.455
5,0.468
6,0.431
7,0.492
8,0.487
9,0.47
10,0.479
11,0.461
12,0.481
13,0.444
14,0.451
15,0.495
16,0.482
17,0.455
18,0.455
19,0.456
20,0.474
