run,idi_ratio
1,0.12
2,0.121
3,0.112
4,0.12
5,0.119
6,0.115
7,0.131
8,0.118
9,0.133
10,0.122
11,0.138
12,0.111
13,0.123
14,0.123
15,0.16
16,0.121
17,0.121
18,0.117
19,0.108
20,0.096
