run,idi_ratio
1,0.678
2,0.61
3,0.602
4,0.655
5,0.665
6,0.67
7,0.648
8,0.638
9,0.684
10,0.683
11,0.679
12,0.563
13,0.675
14,0.623
15,0.69
16,0.636
17,0.656
18,0.643
19,0.7
20,0.715
