run,idi_ratio
1,0.404
2,0.426
3,0.434
4,0.486
5,0.462
6,0.462
7,0.436
8,0.431
9,0.455
10,0.438
11,0.461
12,0.423
13,0.437
14,0.435
15,0.435
16,0.454
17,0.441
18,0.428
19,0.419
20,0.428
