run,idi_ratio
1,0.023
2,0.027
3,0.026
4,0.021
5,0.026
6,0.017
7,0.022
8,0.031
9,0.015
10,0.022
11,0.019
12,0.016
13,0.015
14,0.024
15,0.028
16,0.023
17,0.023
18,0.022
19,0.022
20,0.017
