run,idi_ratio
1,0.331
2,0.314
3,0.329
4,0.366
5,0.358
6,0.27
7,0.349
8,0.281
9,0.328
10,0.337
11,0.363
12,0.349
13,0.364
14,0.314
15,0.331
16,0.353
17,0.361
18,0.322
19,0.393
20,0.351
