run,idi_ratio
1,0.139
2,0.148
3,0.202
4,0.065
5,0.163
6,0.139
7,0.181
8,0.015
9,0.12
10,0.089
11,0.021
12,0.196
13,0.158
14,0.208
15,0.071
16,0.188
17,0.106
18,0.188
19,0.168
20,0.135
