run,idi_ratio
1,0.241
2,0.24
3,0.259
4,0.232
5,0.217
6,0.233
7,0.245
8,0.214
9,0.238
10,0.224
11,0.218
12,0.246
13,0.227
14,0.25
15,0.218
16,0.236
17,0.251
18,0.195
19,0.222
20,0.229
