run,idi_ratio
1,0.474
2,0.457
3,0.458
4,0.429
5,0.453
6,0.448
7,0.35
8,0.467
9,0.451
10,0.468
11,0.491
12,0.48
13,0.473
14,0.477
15,0.449
16,0.456
17,0.472
18,0.475
19,0.463
20,0.443
