run,idi_ratio
1,0.302
2,0.302
3,0.264
4,0.276
5,0.27
6,0.258
7,0.277
8,0.264
9,0.302
10,0.266
11,0.296
12,0.267
13,0.377
14,0.308
15,0.266
16,0.265
17,0.263
18,0.308
19,0.26
20,0.254
