run,idi_ratio
1,0.219
2,0.21
3,0.208
4,0.211
5,0.224
6,0.242
7,0.223
8,0.239
9,0.226
10,0.216
11,0.234
12,0.231
13,0.209
14,0.233
15,0.223
16,0.212
17,0.207
18,0.204
19,0.177
20,0.211
