run,idi_ratio
1,0.07
2,0.077
3,0.115
4,0.083
5,0.074
6,0.102
7,0.104
8,0.089
9,0.093
10,0.039
11,0.078
12,0.165
13,0.03
14,0.079
15,0.033
16,0.023
17,0.073
18,0.078
19,0.082
20,0.034
