run,idi_ratio
1,0.696
2,0.656
3,0.71
4,0.649
5,0.671
6,0.672
7,0.73
8,0.68
9,0.675
10,0.678
11,0.683
12,0.698
13,0.689
14,0.609
15,0.569
16,0.708
17,0.698
18,0.61
19,0.719
20,0.717
