run,idi_ratio
1,0.027
2,0.031
3,0.025
4,0.032
5,0.027
6,0.027
7,0.03
8,0.029
9,0.02
10,0.028
11,0.027
12,0.025
13,0.024
14,0.03
15,0.022
16,0.024
17,0.029
18,0.023
19,0.024
20,0.031
