run,idi_ratio
1,0.379
2,0.469
3,0.453
4,0.459
5,0.493
6,0.468
7,0.45
8,0.461
9,0.469
10,0.479
11,0.488
12,0.472
13,0.455
14,0.461
15,0.342
16,0.454
17,0.453
18,0.462
19,0.457
20,0.47
