run,idi_ratio
1,0.041
2,0.041
3,0.045
4,0.05
5,0.042
6,0.039
7,0.043
8,0.047
9,0.04
10,0.031
11,0.056
12,0.04
13,0.036
14,0.053
15,0.031
16,0.03
17,0.035
18,0.038
19,0.04
20,0.04
