run,idi_ratio
1,0.033
2,0.023
3,0.028
4,0.031
5,0.036
6,0.035
7,0.021
8,0.023
9,0.023
10,0.038
11,0.031
12,0.037
13,0.02
14,0.028
15,0.032
16,0.021
17,0.03
18,0.028
19,0.031
20,0.023
