run,idi_ratio
1,0.549
2,0.541
3,0.548
4,0.545
5,0.587
6,0.552
7,0.577
8,0.569
9,0.542
10,0.582
11,0.549
12,0.589
13,0.558
14,0.535
15,0.561
16,0.559
17,0.588
18,0.555
19,0.555
20,0.554
