run,idi_ratio
1,0.652
2,0.667
3,0.598
4,0.564
5,0.589
6,0.624
7,0.625
8,0.675
9,0.644
10,0.637
11,0.693
12,0.653
13,0.681
14,0.693
15,0.655
16,0.686
17,0.642
18,0.648
19,0.681
20,0.656
