run,idi_ratio
1,0.587
2,0.591
3,0.554
4,0.537
5,0.608
6,0.575
7,0.567
8,0.546
9,0.572
10,0.533
11,0.539
12,0.591
13,0.608
14,0.555
15,0.541
16,0.576
17,0.582
18,0.563
19,0.612
20,0.527
