run,idi_ratio
1,0.385
2,0.401
3,0.396
4,0.403
5,0.391
6,0.402
7,0.394
8,0.377
9,0.389
10,0.392
11,0.404
12,0.388
13,0.384
14,0.394
15,0.391
16,0.368
17,0.396
18,0.39
19,0.377
20,0.397
