dataset,method,baseline_mean,baseline_std,baseline_total_time_s,baseline_mean_time_s,method_mean,method_std,method_total_time_s,method_mean_time_s,p_value,significant
adult,dt,0.4619,0.01908900206925443,2634.0,131.7,0.5682,0.025681900241220447,2576.0,128.8,8.844915021211901e-05,True
compas,dt,0.58815,0.016680152876997256,2510.0,125.5,0.6587000000000001,0.019967723956425282,2536.0,126.8,8.844915021211901e-05,True
dutch,dt,0.020050000000000002,0.004153010955921017,2314.0,115.7,0.15945000000000004,0.045783703432553384,2312.0,115.6,0.00010305922341480608,True
german,dt,0.39095,0.009107551811546292,2810.0,140.5,0.3482,0.0351576449723243,2414.0,120.7,0.00012975033435375704,True
kdd,dt,0.55975,0.016253845698787687,2378.0,118.9,0.64815,0.03408118982664779,2626.0,131.3,8.832385863081277e-05,True
