run,idi_ratio
1,0.586
2,0.579
3,0.563
4,0.599
5,0.558
6,0.625
7,0.586
8,0.598
9,0.574
10,0.598
11,0.594
12,0.56
13,0.59
14,0.587
15,0.593
16,0.588
17,0.621
18,0.594
19,0.579
20,0.591
