run,idi_ratio
1,0.363
2,0.39
3,0.335
4,0.253
5,0.365
6,0.298
7,0.337
8,0.325
9,0.383
10,0.364
11,0.337
12,0.394
13,0.361
14,0.318
15,0.381
16,0.302
17,0.36
18,0.386
19,0.342
20,0.37
