run,idi_ratio
1,0.473
2,0.478
3,0.456
4,0.479
5,0.426
6,0.47
7,0.464
8,0.46
9,0.476
10,0.462
11,0.498
12,0.464
13,0.446
14,0.475
15,0.455
16,0.452
17,0.443
18,0.481
19,0.467
20,0.413
