run,idi_ratio
1,0.609
2,0.657
3,0.642
4,0.647
5,0.702
6,0.659
7,0.674
8,0.653
9,0.64
10,0.673
11,0.656
12,0.64
13,0.636
14,0.67
15,0.652
16,0.666
17,0.662
18,0.679
19,0.685
20,0.672
